2012-06-13 16:00:12 NOVST FATAL:  the database system is starting up
2012-06-13 16:00:12 NOVST LOG:  database system was interrupted; last known up at 2012-06-08 00:48:49 NOVST
2012-06-13 16:00:12 NOVST LOG:  database system was not properly shut down; automatic recovery in progress
2012-06-13 16:00:12 NOVST LOG:  consistent recovery state reached at 0/28B6E60
2012-06-13 16:00:12 NOVST LOG:  record with zero length at 0/28B6E60
2012-06-13 16:00:12 NOVST LOG:  redo is not required
2012-06-13 16:00:13 NOVST LOG:  database system is ready to accept connections
2012-06-13 16:00:13 NOVST LOG:  autovacuum launcher started
2012-06-13 16:16:01 NOVST LOG:  received fast shutdown request
2012-06-13 16:16:01 NOVST LOG:  aborting any active transactions
2012-06-13 16:16:01 NOVST LOG:  autovacuum launcher shutting down
2012-06-13 16:16:01 NOVST ERROR:  canceling statement due to user request
2012-06-13 16:16:03 NOVST LOG:  autovacuum launcher shutting down
2012-06-13 16:16:03 NOVST LOG:  shutting down
2012-06-13 16:16:03 NOVST LOG:  database system is shut down
