2012-12-10 00:12:07 NOVT FATAL:  the database system is starting up
2012-12-10 00:12:07 NOVT LOG:  database system was interrupted; last known up at 2012-12-09 20:38:12 NOVT
2012-12-10 00:12:07 NOVT LOG:  database system was not properly shut down; automatic recovery in progress
2012-12-10 00:12:07 NOVT LOG:  consistent recovery state reached at 0/29B9860
2012-12-10 00:12:07 NOVT LOG:  record with zero length at 0/29B9860
2012-12-10 00:12:07 NOVT LOG:  redo is not required
2012-12-10 00:12:07 NOVT LOG:  database system is ready to accept connections
2012-12-10 00:12:07 NOVT LOG:  autovacuum launcher started
2012-12-10 00:49:52 NOVT WARNING:  pgstat wait timeout
2012-12-10 05:41:09 NOVT WARNING:  pgstat wait timeout
2012-12-10 05:44:19 NOVT WARNING:  pgstat wait timeout
2012-12-10 05:45:28 NOVT WARNING:  pgstat wait timeout
